concept_id,concept_name,vocabulary_id,domain_id
4091179,Tuberculous chronic iridocyclitis,SNOMED,Condition
4091180,Tuberculosis of stomach,SNOMED,Condition
4091181,Tuberculosis of liver,SNOMED,Condition
4093433,Tuberculosis of nasal septum,SNOMED,Condition
4098475,Tuberculous arthritis,SNOMED,Condition
4103588,Acute tuberculosis,SNOMED,Condition
4105875,Genital tuberculosis,SNOMED,Condition
4108227,Acute myocarditis - tuberculous,SNOMED,Condition
4108799,Acute tuberculous pericarditis,SNOMED,Condition
4109134,Keratitis due to tuberculosis,SNOMED,Condition
4112387,Disseminated tuberculosis,SNOMED,Condition
4119769,Tuberculous mesenteric adenitis,SNOMED,Condition
4119932,Silicotuberculosis,SNOMED,Condition
4121541,Tuberculous synovitis,SNOMED,Condition
4123592,Oral tuberculosis,SNOMED,Condition
4124676,Tuberculous bronchopleural fistula,SNOMED,Condition
4126283,Tuberculous urethritis,SNOMED,Condition
4127558,Tuberculous stricture of ureter,SNOMED,Condition
4127732,Tuberculous epididymo-orchitis,SNOMED,Condition
4130374,Tuberculosis of brain,SNOMED,Condition
4141802,Active tuberculosis,SNOMED,Condition
4144953,Tuberculosis verrucosa cutis,SNOMED,Condition
4145952,Tuberculosis in pregnancy,SNOMED,Condition
4150516,Tuberculous meningoencephalitis,SNOMED,Condition
4153291,Tuberculosis of skin and subcutaneous tissue,SNOMED,Condition
4158561,Infection caused by Mycobacterium africanum,SNOMED,Condition
4158562,Infection caused by mycobacterium tuberculosis hominis,SNOMED,Condition
4162285,Infection caused by Mycobacterium bovis,SNOMED,Condition
4162434,Infection caused by Mycobacterium tuberculosis,SNOMED,Condition
4171577,Tuberculosis of nose,SNOMED,Condition
4173266,Tuberculous dactylitis,SNOMED,Condition
4174680,Tuberculous disseminated chorioretinitis,SNOMED,Condition
4180072,Reactivation tuberculosis,SNOMED,Condition
4185933,Isoniazid resistant tuberculosis,SNOMED,Condition
4186902,Ciprofloxacin resistant tuberculosis,SNOMED,Condition
4187771,Antibiotic resistant tuberculosis,SNOMED,Condition
4188533,Infection caused by Mycobacterium microti,SNOMED,Condition
4190113,Ethambutol resistant tuberculosis,SNOMED,Condition
4190114,Ethionamide resistant tuberculosis,SNOMED,Condition
4193385,Tuberculous interstitial keratitis,SNOMED,Condition
4195759,Tuberculous osteonecrosis,SNOMED,Condition
4198045,Isolated bronchial tuberculosis,SNOMED,Condition
4198121,Tuberculous uveitis,SNOMED,Condition
4200644,Tuberculosis of colon,SNOMED,Condition
4200662,Tuberculosis of heart,SNOMED,Condition
4203012,Tuberculosis of endocardium,SNOMED,Condition
4203768,Tuberculosis of nasal sinus,SNOMED,Condition
4204238,Cervical tuberculous lymphadenitis,SNOMED,Condition
4207953,Tuberculosis of glottis,SNOMED,Condition
4209565,Tuberculosis of nasopharynx,SNOMED,Condition
4213772,Pyrazinamide resistant tuberculosis,SNOMED,Condition
4214988,Tuberculosis of anus,SNOMED,Condition
4215083,Streptomycin resistant tuberculosis,SNOMED,Condition
4215150,Tuberculosis of bones of lower extremity,SNOMED,Condition
4216848,Chronic granulomatous tuberculosis,SNOMED,Condition
4217386,Rifampicin resistant tuberculosis,SNOMED,Condition
4218612,Tuberculous polyserositis,SNOMED,Condition
4219077,Tuberculosis of mediastinal lymph nodes,SNOMED,Condition
4220997,Scrofuloderma,SNOMED,Condition
4224176,Tuberculous episcleritis,SNOMED,Condition
4224748,Tuberculosis of testis,SNOMED,Condition
4226658,Tuberculosis with AIDS (acquired immunodeficiency syndrome),SNOMED,Condition
4228821,Primary tuberculous complex,SNOMED,Condition
4234563,Tuberculosis of cerebral meninges,SNOMED,Condition
4237741,Acute diffuse tuberculosis,SNOMED,Condition
4238921,Tuberculous encephalitis,SNOMED,Condition
4239485,Tuberculous osteomyelitis,SNOMED,Condition
4244239,Tuberculosis of spinal meninges,SNOMED,Condition
4244525,Tuberculosis of large intestine,SNOMED,Condition
